Symbol,Name,% Holding,Fund
XLK,S&P 500 Technology Sector SPDR,N/A,XLK
AAPL,Apple Inc,23.67%,XLK
MSFT,Microsoft Corp,21.22%,XLK
NVDA,Nvidia Corp,6.15%,XLK
V,Visa Inc,3.14%,XLK
MA,Mastercard Inc,2.67%,XLK
ADBE,Adobe Systems Inc,2.36%,XLK
AVGO,Broadcom Ltd,2.23%,XLK
CSCO,Cisco Systems Inc,2.22%,XLK
ACN,Accenture Plc,2.22%,XLK
CRM,Salesforce.com Inc,2.14%,XLK
PYPL,Paypal Holdings,1.94%,XLK
INTC,Intel Corp,1.79%,XLK
QCOM,Qualcomm Inc,1.75%,XLK
INTU,Intuit Inc,1.56%,XLK
TXN,Texas Instruments,1.51%,XLK
ORCL,Oracle Corp,1.48%,XLK
AMD,Adv Micro Devices,1.47%,XLK
AMAT,Applied Materials,1.17%,XLK
NOW,Servicenow Inc,1.05%,XLK
IBM,International Business Machines,0.98%,XLK
ADP,Automatic Data Procs,0.86%,XLK
LRCX,Lam Research Corp,0.83%,XLK
ADI,Analog Devices,0.81%,XLK
MU,Micron Technology,0.81%,XLK
FIS,Fidelity National Information Services,0.59%,XLK
FISV,Fiserv Inc,0.55%,XLK
KLAC,K L A-Tencor Corp,0.53%,XLK
ADSK,Autodesk Inc,0.52%,XLK
NXPI,Nxp Semiconductors,0.50%,XLK
SNPS,Synopsys Inc,0.47%,XLK
TEL,Te Connectivity Ltd,0.46%,XLK
APH,Amphenol Corp,0.44%,XLK
CDNS,Cadence Design Sys,0.44%,XLK
XLNX,Xilinx Inc,0.43%,XLK
MCHP,Microchip Technology,0.40%,XLK
CTSH,Cognizant Tech Sol,0.39%,XLK
HPQ,HP Inc,0.39%,XLK
MSI,Motorola Solutions,0.39%,XLK
FTNT,Fortinet Inc,0.38%,XLK
PAYX,Paychex Inc,0.35%,XLK
GPN,Global Payments Inc,0.33%,XLK
KEYS,Keysight Technologies Inc Comm,0.32%,XLK
EPAM,Epam Systems Inc,0.31%,XLK
ANSS,Ansys Inc,0.30%,XLK
ZBRA,Zebra Technologies,0.28%,XLK
ANET,Arista Networks Inc,0.26%,XLK
GLW,Corning Inc,0.25%,XLK
IT,Gartner Inc,0.24%,XLK
TER,Teradyne Inc,0.23%,XLK
CDW,CDW Corp,0.23%,XLK
ENPH,Enphase Energy Inc,0.23%,XLK
SWKS,Skyworks Solutions,0.21%,XLK
VRSN,Verisign Inc,0.20%,XLK
STX,Seagate Technology Hldgs Plc,0.19%,XLK
TRMB,Trimble Navigation,0.19%,XLK
BR,Broadridge Financial Solutions Llc,0.18%,XLK
TYL,Tyler Technologies,0.18%,XLK
MPWR,Monolithic Power Sys,0.18%,XLK
TDY,Teledyne Technologies Inc,0.18%,XLK
NTAP,Netapp Inc,0.17%,XLK
HPE,Hewlett Packard Enterprise Comp,0.17%,XLK
PAYC,Paycom Software Inc,0.17%,XLK
AKAM,Akamai Technologies,0.17%,XLK
FLT,Fleetcor Technologies,0.16%,XLK
WDC,Western Digital Cp,0.15%,XLK
QRVO,Qorvo Inc,0.14%,XLK
NLOK,Nortonlifelock Inc,0.13%,XLK
FFIV,F5 Inc,0.12%,XLK
CDAY,Ceridian Hcm Holding Inc,0.12%,XLK
PTC,Ptc Inc,0.11%,XLK
JKHY,Jack Henry & Assoc,0.11%,XLK
JNPR,Juniper Networks,0.09%,XLK
CTXS,Citrix Systems Inc,0.09%,XLK
DXC,Dxc Technology Company,0.07%,XLK
WU,Western Union Company,0.07%,XLK
IPGP,Ipg Photonics Corp,0.05%,XLK
XLF,S&P 500 Financials Sector SPDR,N/A,XLF
BRK.B,Berkshire Hathaway Cl B,12.75%,XLF
JPM,JP Morgan Chase & Company,10.98%,XLF
BAC,Bank of America Corp,7.63%,XLF
WFC,Wells Fargo & Company,4.73%,XLF
MS,Morgan Stanley,3.35%,XLF
GS,Goldman Sachs Group,3.09%,XLF
BLK,Blackrock Inc,3.02%,XLF
SCHW,The Charles Schwab Corp,2.89%,XLF
C,Citigroup Inc,2.84%,XLF
SPGI,S&P Global Inc,2.63%,XLF
AXP,American Express Company,2.40%,XLF
MMC,Marsh & Mclennan Companies,1.97%,XLF
CB,Chubb Ltd,1.97%,XLF
PNC,PNC Bank,1.96%,XLF
CME,CME Group Inc,1.88%,XLF
TFC,Truist Financial Corp,1.81%,XLF
USB,U.S. Bancorp,1.77%,XLF
ICE,Intercontinental Exchange,1.75%,XLF
AON,AON Plc,1.53%,XLF
COF,Capital One Financial Corp,1.51%,XLF
MCO,Moody's Corp,1.47%,XLF
PGR,Progressive Corp,1.38%,XLF
MSCI,MSCI Inc,1.12%,XLF
AIG,American International Group,1.08%,XLF
BK,Bank of New York Mellon Corp,1.06%,XLF
MET,Metlife Inc,1.02%,XLF
TROW,T Rowe Price Group,0.99%,XLF
PRU,Prudential Financial Inc,0.96%,XLF
TRV,The Travelers Companies Inc,0.93%,XLF
SIVB,Svb Financial Group,0.92%,XLF
FRC,First Republic Bank,0.83%,XLF
AFL,Aflac Inc,0.82%,XLF
DFS,Discover Financial Services,0.79%,XLF
AJG,Arthur J. Gallagher & Company,0.79%,XLF
ALL,Allstate Corp,0.78%,XLF
AMP,Ameriprise Financial Services,0.78%,XLF
STT,State Street Corp,0.78%,XLF
WLTW,Willis Towers WT,0.69%,XLF
FITB,Fifth Third Bancorp,0.69%,XLF
SYF,Synchrony Financial,0.62%,XLF
NTRS,Northern Trust Corp,0.57%,XLF
HIG,Hartford Financial Services Group,0.55%,XLF
NDAQ,Nasdaq Inc,0.55%,XLF
HBAN,Huntington Bcshs,0.52%,XLF
KEY,Keycorp,0.51%,XLF
RF,Regions Financial Corp,0.48%,XLF
CFG,Citizens Financial Group Inc/Ri,0.46%,XLF
MTB,M&T Bank Corp,0.45%,XLF
RJF,Raymond James Financial,0.42%,XLF
PFG,Principal Financial Group Inc,0.42%,XLF
CINF,Cincinnati Financial,0.40%,XLF
BRO,Brown & Brown,0.36%,XLF
MKTX,Marketaxess Holdings,0.36%,XLF
CBOE,CBOE Global Markets Inc,0.32%,XLF
LNC,Lincoln National Corp,0.27%,XLF
L,Loews Corp,0.27%,XLF
CMA,Comerica Inc,0.27%,XLF
WRB,W.R. Berkley Corp,0.26%,XLF
RE,Everest Re Group,0.25%,XLF
ZION,Zions Bancorp,0.24%,XLF
BEN,Franklin Resources,0.22%,XLF
AIZ,Assurant Inc,0.21%,XLF
GL,Globe Life Inc,0.20%,XLF
IVZ,Invesco Plc,0.18%,XLF
PBCT,People's United Finl,0.17%,XLF
XLY,S&P 500 Cons Disc Sector SPDR,N/A,XLY
AMZN,Amazon.com Inc,20.79%,XLY
TSLA,Tesla Inc,17.32%,XLY
HD,Home Depot,9.78%,XLY
MCD,McDonald's Corp,4.63%,XLY
LOW,Lowe's Companies,4.18%,XLY
NKE,Nike Inc,4.16%,XLY
SBUX,Starbucks Corp,3.13%,XLY
TGT,Target Corp,2.60%,XLY
BKNG,Booking Holdings Inc,2.07%,XLY
TJX,TJX Companies,2.07%,XLY
GM,General Motors Company,1.98%,XLY
F,Ford Motor Company,1.86%,XLY
DG,Dollar General Corp,1.24%,XLY
ORLY,O'Reilly Automotive,1.11%,XLY
CMG,Chipotle Mexican Grill,1.10%,XLY
APTV,Aptiv Plc,1.02%,XLY
AZO,Autozone,1.01%,XLY
EBAY,Ebay Inc,0.97%,XLY
MAR,Marriot Int Cl A,0.96%,XLY
YUM,Yum! Brands,0.92%,XLY
ROST,Ross Stores Inc,0.91%,XLY
HLT,Hilton Inc,0.90%,XLY
DHI,D.R. Horton,0.80%,XLY
DLTR,Dollar Tree Inc,0.75%,XLY
LEN,Lennar Corp,0.70%,XLY
ETSY,Etsy Inc,0.65%,XLY
TSCO,Tractor Supply Company,0.62%,XLY
VFC,V.F. Corp,0.55%,XLY
BBY,Best Buy Company,0.53%,XLY
EXPE,Expedia Group Inc,0.52%,XLY
KMX,Carmax Inc,0.52%,XLY
POOL,Pool Corp,0.52%,XLY
ULTA,Ulta Beauty Inc,0.49%,XLY
GRMN,Garmin Ltd,0.48%,XLY
DPZ,Domino's Pizza Inc,0.46%,XLY
GPC,Genuine Parts Company,0.45%,XLY
NVR,NVR Inc,0.45%,XLY
DRI,Darden Restaurants,0.45%,XLY
BBWI,Bath & Body Works Inc,0.43%,XLY
CZR,Caesars Entertainment Inc,0.43%,XLY
MGM,MGM Resorts International,0.38%,XLY
AAP,Advance Auto Parts Inc,0.37%,XLY
RCL,Royal Caribbean Cruises Ltd,0.36%,XLY
LKQ,LKQ Corp,0.36%,XLY
WHR,Whirlpool Corp,0.35%,XLY
CCL,Carnival Corp,0.33%,XLY
PHM,Pultegroup,0.33%,XLY
HAS,Hasbro Inc,0.31%,XLY
LVS,Las Vegas Sands,0.28%,XLY
TPR,Tapestry Inc,0.27%,XLY
BWA,Borgwarner Inc,0.25%,XLY
MHK,Mohawk Industries,0.23%,XLY
NWL,Newell Rubbermaid Inc,0.20%,XLY
WYNN,Wynn Resorts Ltd,0.20%,XLY
PENN,Penn Natl Gaming Inc,0.17%,XLY
NCLH,Norwegian Cruise Ord,0.17%,XLY
PVH,Phillips-Van Heusen Corp,0.16%,XLY
HBI,Hanesbrands Inc,0.14%,XLY
RL,Ralph Lauren Corp,0.13%,XLY
LEG,Leggett & Platt Inc,0.13%,XLY
UAA,Under Armour,0.09%,XLY
UA,Under Armour Inc Cl C,0.09%,XLY
GPS,Gap Inc,0.08%,XLY
XLP,S&P 500 Cons Staples Sector SPDR,N/A,XLP
PG,Procter & Gamble Company,16.67%,XLP
PEP,Pepsico Inc,10.12%,XLP
KO,Coca-Cola Company,9.71%,XLP
WMT,Walmart Inc,8.73%,XLP
COST,Costco Wholesale,5.01%,XLP
MDLZ,Mondelez Intl Inc,4.77%,XLP
EL,Estee Lauder Companies,4.37%,XLP
MO,Altria Group,3.95%,XLP
PM,Philip Morris International Inc,3.84%,XLP
CL,Colgate-Palmolive Company,3.68%,XLP
KMB,Kimberly-Clark Corp,2.48%,XLP
GIS,General Mills,2.17%,XLP
STZ,Constellation Brands Inc,2.11%,XLP
SYY,Sysco Corp,1.97%,XLP
ADM,Archer Daniels Midland,1.92%,XLP
WBA,Walgreens Boots Alliance,1.84%,XLP
MNST,Monster Beverage Cp,1.79%,XLP
KR,Kroger Company,1.62%,XLP
HSY,Hershey Foods Corp,1.45%,XLP
KHC,Kraft Heinz Company,1.33%,XLP
TSN,Tyson Foods,1.32%,XLP
CHD,Church & Dwight Company,1.29%,XLP
MKC,Mccormick & Company,1.22%,XLP
CLX,Clorox Company,1.14%,XLP
K,Kellogg Company,0.87%,XLP
CAG,Conagra Brands Inc,0.86%,XLP
SJM,J.M. Smucker Company,0.78%,XLP
HRL,Hormel Foods Corp,0.72%,XLP
BF.B,Brown Forman Inc Cl B,0.69%,XLP
CPB,Campbell Soup Company,0.46%,XLP
TAP,Molson Coors Brewing Company,0.44%,XLP
LW,Lamb Weston Holdings Inc,0.43%,XLP
UNH,Unitedhealth Group Inc,8.80%,XLV
JNJ,Johnson & Johnson,8.62%,XLV
PFE,Pfizer Inc,6.50%,XLV
TMO,Thermo Fisher Scientific Inc,4.93%,XLV
ABT,Abbott Laboratories,4.57%,XLV
ABBV,Abbvie Inc,4.41%,XLV
LLY,Eli Lilly and Company,4.19%,XLV
DHR,Danaher Corp,3.83%,XLV
MRK,Merck & Company,3.64%,XLV
BMY,Bristol-Myers Squibb Company,2.62%,XLV
MDT,Medtronic Inc,2.60%,XLV
CVS,CVS Corp,2.53%,XLV
AMGN,Amgen Inc,2.39%,XLV
ISRG,Intuitive Surg Inc,2.26%,XLV
ZTS,Zoetis Inc Cl A,2.09%,XLV
ANTM,Anthem Inc,2.07%,XLV
MRNA,Moderna Inc,1.88%,XLV
GILD,Gilead Sciences Inc,1.72%,XLV
SYK,Stryker Corp,1.60%,XLV
EW,Edwards Lifesciences Corp,1.41%,XLV
CI,Cigna Corp,1.41%,XLV
BDX,Becton Dickinson and Company,1.40%,XLV
REGN,Regeneron Pharmaceuticals,1.26%,XLV
HCA,Hca Holdings Inc,1.19%,XLV
HUM,Humana Inc,1.11%,XLV
BSX,Boston Scientific Corp,1.09%,XLV
ILMN,Illumina Inc,1.05%,XLV
VRTX,Vertex Pharmaceutic,1.04%,XLV
IDXX,Idexx Laboratories,0.98%,XLV
DXCM,Dexcom,0.97%,XLV
IQV,Iqvia Holdings Inc,0.97%,XLV
CNC,Centene Corp,0.92%,XLV
A,Agilent Technologies,0.87%,XLV
ALGN,Align Technology,0.83%,XLV
BAX,Baxter International Inc,0.79%,XLV
RMD,Resmed Inc,0.70%,XLV
MTD,Mettler-Toledo International,0.68%,XLV
MCK,Mckesson Corp,0.68%,XLV
BIIB,Biogen Inc,0.66%,XLV
WST,West Pharmaceutical Services,0.62%,XLV
LH,Laboratory Corp of America Holdings,0.57%,XLV
ZBH,Zimmer Biomet Holdings,0.48%,XLV
CERN,Cerner Corp,0.44%,XLV
STE,Steris Corp,0.44%,XLV
CTLT,Catalent Inc,0.41%,XLV
WAT,Waters Corp,0.41%,XLV
PKI,Perkinelmer,0.40%,XLV
DGX,Quest Diagnostics Inc,0.40%,XLV
HOLX,Hologic Inc,0.37%,XLV
COO,Cooper Companies,0.37%,XLV
ABC,Amerisourcebergen Corp,0.35%,XLV
CRL,Charles River Laboratories Intl,0.34%,XLV
TECH,Bio-Techne Cp,0.34%,XLV
BIO,Bio-Rad Laboratories,0.30%,XLV
VTRS,Viatris Inc,0.30%,XLV
TFX,Teleflex Inc,0.28%,XLV
CAH,Cardinal Health,0.27%,XLV
ABMD,Abiomed Inc,0.27%,XLV
INCY,Incyte Corp,0.26%,XLV
XRAY,Dentsply Sirona Inc,0.22%,XLV
HSIC,Henry Schein Inc,0.19%,XLV
UHS,Universal Health Services,0.18%,XLV
OGN,Organon & CO,0.15%,XLV
DVA,Davita Healthcare Partners Inc,0.13%,XLV
XLV,S&P 500 Healthcare Sector SPDR,N/A,XLV
NEE,Nextera Energy,18.14%,XLU
DUK,Duke Energy Corp,8.06%,XLU
SO,Southern Company,7.17%,XLU
D,Dominion Resources,6.37%,XLU
EXC,Exelon Corp,5.33%,XLU
AEP,American Electric Power Company,4.41%,XLU
SRE,Sempra,4.12%,XLU
XEL,XCEL Energy Inc,3.72%,XLU
AWK,American Water Works,3.33%,XLU
PEG,Public Service Enterprise Group Inc,3.33%,XLU
ES,Eversource Energy,3.13%,XLU
WEC,Wisconsin Energy Corp,3.11%,XLU
ED,Consolidated Edison Company of New York,3.00%,XLU
EIX,Edison International,2.59%,XLU
DTE,Dte Energy Company,2.34%,XLU
AEE,Ameren Corp,2.29%,XLU
PPL,PPL Corp,2.27%,XLU
ETR,Entergy Corp,2.23%,XLU
FE,Firstenergy Corp,2.20%,XLU
CMS,Cms Energy Corp,1.90%,XLU
CNP,Centerpoint Energy Inc,1.66%,XLU
AES,The Aes Corp,1.61%,XLU
EVRG,Evergy Inc,1.56%,XLU
LNT,Alliant Energy Corp,1.53%,XLU
ATO,Atmos Energy Corp,1.31%,XLU
NI,NiSource Inc,1.06%,XLU
NRG,NRG Energy,0.98%,XLU
PNW,Pinnacle West Capital Corp,0.77%,XLU
XLU,S&P 500 Utilities Sector SPDR,N/A,XLU
UNP,Union Pacific Corp,5.22%,XLI
UPS,United Parcel Service,4.88%,XLI
HON,Honeywell International Inc,4.66%,XLI
RTX,Raytheon Technologies Corp,4.02%,XLI
CAT,Caterpillar Inc,3.64%,XLI
BA,Boeing Company,3.39%,XLI
MMM,3M Company,3.32%,XLI
GE,General Electric Company,3.27%,XLI
DE,Deere & Company,3.18%,XLI
LMT,Lockheed Martin Corp,2.74%,XLI
CSX,CSX Corp,2.66%,XLI
NSC,Norfolk Southern Corp,2.31%,XLI
ITW,Illinois Tool Works Inc,2.27%,XLI
ETN,Eaton Corp,2.17%,XLI
WM,Waste Management,2.07%,XLI
FDX,Fedex Corp,1.89%,XLI
NOC,Northrop Grumman Corp,1.84%,XLI
JCI,Johnson Controls Intl,1.81%,XLI
EMR,Emerson Electric Company,1.81%,XLI
INFO,IHS Markit Ltd,1.72%,XLI
ROP,Roper Industries,1.65%,XLI
TT,Trane Technologies Plc,1.55%,XLI
GD,General Dynamics Corp,1.54%,XLI
CARR,Carrier Global Corp,1.51%,XLI
LHX,L3Harris Technologies Inc,1.36%,XLI
ROK,Rockwell Automation Inc,1.30%,XLI
PH,Parker-Hannifin Corp,1.30%,XLI
CTAS,Cintas Corp,1.28%,XLI
VRSK,Verisk Analytics Inc,1.19%,XLI
OTIS,Otis Worldwide Corp,1.19%,XLI
FAST,Fastenal Company,1.17%,XLI
EFX,Equifax Inc,1.14%,XLI
AME,Amtek Inc,1.07%,XLI
ODFL,Old Dominion Freight Line Inc,1.06%,XLI
CMI,Cummins Inc,1.01%,XLI
SWK,Stanley Black & Decker Inc,1.00%,XLI
CPRT,Copart Inc,1.00%,XLI
TDG,Transdigm Group Inc,0.97%,XLI
PCAR,Paccar Inc,0.96%,XLI
RSG,Republic Services,0.94%,XLI
FTV,Fortive Corp,0.87%,XLI
DOV,Dover Corp,0.80%,XLI
URI,United Rentals,0.79%,XLI
IR,Ingersoll Rand Inc,0.78%,XLI
LUV,Southwest Airlines Company,0.75%,XLI
EXPD,Expeditors Intl,0.74%,XLI
DAL,Delta Air Lines Inc,0.74%,XLI
GWW,W.W. Grainger,0.72%,XLI
GNRC,Generac Holdings Inc,0.71%,XLI
XYL,Xylem Inc,0.69%,XLI
IEX,Idex Corp,0.59%,XLI
J,Jacobs Engineering Group Inc,0.58%,XLI
MAS,Masco Corp,0.55%,XLI
WAB,Wabtec Corp,0.54%,XLI
TXT,Textron Inc,0.54%,XLI
JBHT,J B Hunt Transport,0.53%,XLI
PWR,Quanta Services,0.50%,XLI
FBHS,Fortune Brands Home & Security,0.47%,XLI
CHRW,C.H. Robinson Ww,0.44%,XLI
UAL,United Airlines Holdings Inc,0.42%,XLI
LDOS,Leidos Holdings Inc,0.41%,XLI
RHI,Robert Half International Inc,0.39%,XLI
PNR,Pentair Ltd,0.39%,XLI
ALLE,Allegion Plc,0.38%,XLI
SNA,Snap-On Inc,0.38%,XLI
HWM,Howmet Aerospace Inc,0.37%,XLI
AOS,Smith A.O. Corp,0.36%,XLI
AAL,American Airlines Gp,0.34%,XLI
HII,Huntington Ingalls Industries,0.24%,XLI
ROL,Rollins Inc,0.24%,XLI
NLSN,Nielsen Holdings Plc,0.23%,XLI
ALK,Alaska Air Group,0.20%,XLI
XLI,S&P 500 Industrial Sector SPDR,N/A,XLI
FB,Meta Platforms Inc,22.34%,XLC
GOOGL,Alphabet Cl A,13.33%,XLC
GOOG,Alphabet Cl C,12.51%,XLC
NFLX,Netflix Inc,4.88%,XLC
VZ,Verizon Communications Inc,4.81%,XLC
TMUS,T-Mobile US,4.56%,XLC
T,AT&T Inc,4.31%,XLC
CMCSA,Comcast Corp A,4.07%,XLC
DIS,Walt Disney Company,3.99%,XLC
CHTR,Charter Communicatio,3.97%,XLC
ATVI,Activision Blizzard,3.45%,XLC
EA,Electronic Arts Inc,2.65%,XLC
MTCH,Match Group Inc,2.48%,XLC
TWTR,Twitter Inc,2.47%,XLC
TTWO,Take-Two Interacti,1.45%,XLC
VIAC,Viacom CBS Cl B,1.30%,XLC
OMC,Omnicom Group Inc,1.14%,XLC
IPG,Interpublic Group of Companies,1.04%,XLC
LYV,Live Nation Entertainment,0.96%,XLC
LUMN,Centurylink,0.88%,XLC
FOXA,Fox Corp Cl A,0.86%,XLC
NWSA,News Cp Cl A,0.60%,XLC
DISH,Dish Network Corp,0.58%,XLC
DISCK,Discovery Comm Inc,0.49%,XLC
FOX,Fox Corp Cl B,0.37%,XLC
DISCA,Discovery Comm A,0.28%,XLC
NWS,News Cp Cl B,0.19%,XLC
XLC,S&P 500 Communication Sector SPDR,N/A,XLC
XOM,Exxon Mobil Corp,22.29%,XLE
CVX,Chevron Corp,21.45%,XLE
COP,Conocophillips,4.48%,XLE
EOG,Eog Resources,4.44%,XLE
SLB,Schlumberger N.V.,4.41%,XLE
PXD,Pioneer Natural Resources Company,4.27%,XLE
MPC,Marathon Petroleum Corp,4.25%,XLE
WMB,Williams Companies,3.37%,XLE
PSX,Phillips 66,3.30%,XLE
KMI,Kinder Morgan,3.28%,XLE
VLO,Valero Energy Corp,2.98%,XLE
OKE,Oneok Inc,2.76%,XLE
DVN,Devon Energy Corp,2.70%,XLE
OXY,Occidental Petroleum Corp,2.67%,XLE
HES,Hess Corp,2.21%,XLE
BKR,Baker Hughes A Ge Co. Cl A,2.13%,XLE
HAL,Halliburton Company,2.13%,XLE
FANG,Diamondback Energy,1.90%,XLE
CTRA,Coterra Energy Inc,1.73%,XLE
MRO,Marathon Oil Corp,1.29%,XLE
APA,Apa Corp,1.00%,XLE
XLE,S&P 500 Energy Sector SPDR,N/A,XLE
LIN,Linde Plc,17.29%,XLB
SHW,Sherwin-Williams Company,8.30%,XLB
APD,Air Products and Chemicals,6.61%,XLB
ECL,Ecolab Inc,5.63%,XLB
FCX,Freeport-Mcmoran Inc,5.53%,XLB
NEM,Newmont Mining Corp,4.64%,XLB
DD,Du Pont De.Nemours Inc,4.05%,XLB
DOW,Dow Inc,4.01%,XLB
PPG,PPG Industries,3.96%,XLB
IFF,International Flavors & Fragrances,3.58%,XLB
CTVA,Corteva Inc,3.40%,XLB
NUE,Nucor Corp,3.29%,XLB
BLL,Ball Corp,2.97%,XLB
MLM,Martin Marietta Materials,2.70%,XLB
VMC,Vulcan Materials Company,2.68%,XLB
ALB,Albemarle Corp,2.66%,XLB
