ExpirationDate,Calls,CallLastSale,CallNet,CallBid,CallAsk,CallVol,CallIV,CallDelta,CallGamma,CallOpenInt,StrikePrice,Puts,PutLastSale,PutNet,PutBid,PutAsk,PutVol,PutIV,PutDelta,PutGamma,PutOpenInt,CallGEX,PutGEX,TotalGamma,daysTillExp,IsThirdFriday,callGammaEx,putGammaEx,
12/13/22 16:00,SPXW221213C03980000,50.6,21.75,50.4,51,1263,0.5917,0.5239,0.0033,312,3980,SPXW221213P03980000,45.04,-20.05,44.7,45.4,688,0.5921,-0.4757,0.0033,105,16395937.18,-5517863.474,0.010878074,0.003816794,FALSE,13531897.35,4550942.526,2864039.831
12/13/22 16:00,SPXW221213C03985000,48.17,20.43,47.8,48.4,1408,0.5907,0.5075,0.0033,129,3985,SPXW221213P03985000,47.4,-20.55,47.1,47.8,710,0.5918,-0.4921,0.0033,57,6779089.411,-2995411.6,0.003783678,0.003816794,FALSE,5618563.181,2478011.583,1160526.23
12/13/22 16:00,SPXW221213C03990000,45.59,20.06,45.3,45.9,2234,0.5899,0.491,0.0033,3160,3990,SPXW221213P03990000,49.85,-20.75,49.6,50.2,720,0.5916,-0.5086,0.0033,290,166061415,-15239813.41,0.150821602,0.003816794,FALSE,138005835.3,12628686.97,28055579.74
12/13/22 16:00,SPXW221213C03995000,42.68,19.45,42.9,43.4,1022,0.5893,0.4745,0.0033,237,3995,SPXW221213P03995000,52.36,-22.29,52.2,52.8,201,0.591,-0.5251,0.0033,43,12454606.13,-2259696.47,0.01019491,0.003816794,FALSE,10362711.53,1874749.414,2091894.596
12/13/22 16:00,SPXW221213C04000000,41,19.05,40.5,41,5505,0.589,0.458,0.0033,2029,4000,SPXW221213P04000000,55,-22.05,54.8,55.4,637,0.5894,-0.5416,0.0033,194,106626142.8,-10194909.66,0.096431233,0.003816794,FALSE,88672099.04,8472527.358,17954043.72
12/13/22 16:00,SPXW221213C04005000,38.6,18.75,38.2,38.8,553,0.5876,0.4415,0.0033,81,4005,SPXW221213P04005000,57.7,-23.6,57.5,58.2,119,0.5874,-0.5581,0.0033,50,4256637.537,-2627554.035,0.001629084,0.003816794,FALSE,3540469.537,2186212.015,716168.0007
12/14/22 16:00,SPXW221214C03980000,62.88,23.9,62.9,63.6,442,0.5214,0.5215,0.0026,189,3980,SPXW221214P03980000,57.53,-18.02,57.4,58,163,0.5206,-0.4781,0.0026,261,7825333.655,-10806413.14,-0.002981079,0.007633588,FALSE,6583360.07,9105237.136,1241973.584
12/14/22 16:00,SPXW221214C03985000,60,22.85,60.4,61,199,0.5201,0.5084,0.0026,100,3985,SPXW221214P03985000,59.98,-18.47,59.8,60.4,131,0.5206,-0.4912,0.0026,49,4140388.177,-2028790.207,0.002111598,0.007633588,FALSE,3498431.85,1712585.904,641956.3273
12/14/22 16:00,SPXW221214C03990000,58.3,22.82,57.8,58.4,290,0.5191,0.4953,0.0026,134,3990,SPXW221214P03990000,62.87,-17.87,62.2,62.8,99,0.52,-0.5043,0.0026,161,5548120.157,-6666024.965,-0.001117905,0.007633588,FALSE,4702070.235,5639719.374,846049.9219
12/14/22 16:00,SPXW221214C03995000,55.27,22.62,55.3,55.9,325,0.518,0.4822,0.0026,232,3995,SPXW221214P03995000,64.2,-20.15,64.7,65.4,52,0.5189,-0.5175,0.0026,67,9605700.571,-2774060.079,0.00683164,0.007633588,FALSE,8160879.713,2352718.411,1444820.858
12/14/22 16:00,SPXW221214C04000000,53.21,22.46,52.8,53.4,872,0.5167,0.469,0.0026,1212,4000,SPXW221214P04000000,67.26,-20.19,67.3,68,566,0.5176,-0.5307,0.0026,1449,50181504.71,-59994224.69,-0.00981272,0.007633588,FALSE,42721976.16,50987412.6,7459528.542
12/14/22 16:00,SPXW221214C04005000,50.81,21.91,50.4,51.1,222,0.5157,0.4558,0.0026,266,4005,SPXW221214P04005000,68.8,-21.8,69.8,70.6,58,0.5158,-0.5439,0.0026,31,11013432.55,-1283520.335,0.009729912,0.007633588,FALSE,9383021.693,1093299.299,1630410.858
12/15/22 16:00,SPXW221215C03980000,66.6,24.95,66.6,67.6,138,0.4464,0.5244,0.0025,92,3980,SPXW221215P03980000,60.08,-17.02,59.6,60.6,60,0.4442,-0.4755,0.0025,56,3662651.08,-2229439.788,0.001433211,0.011450382,FALSE,3056540.277,1869694.012,606110.8027
12/15/22 16:00,SPXW221215C03985000,66.7,27.25,64,65,45,0.445,0.512,0.0025,63,3985,SPXW221215P03985000,62.85,-17.1,62,63,35,0.4435,-0.4879,0.0025,44,2508119.761,-1751702.69,0.000756417,0.011450382,FALSE,2103305.933,1473942.453,404813.8281
12/15/22 16:00,SPXW221215C03990000,62.8,25.45,61.4,62.4,299,0.4447,0.4995,0.0025,183,3990,SPXW221215P03990000,65.17,-17.68,64.4,65.4,92,0.4425,-0.5004,0.0025,84,7285490.735,-3344159.681,0.003941331,0.011450382,FALSE,6120157.567,2823227.324,1165333.168
12/15/22 16:00,SPXW221215C03995000,59.28,23.98,58.9,59.8,97,0.4435,0.487,0.0025,54,3995,SPXW221215P03995000,67.62,-18.18,66.9,67.8,38,0.4417,-0.5129,0.0025,45,2149816.938,-1791514.115,0.000358303,0.011450382,FALSE,1811482.14,1515720.248,338334.7984
12/15/22 16:00,SPXW221215C04000000,57.22,23.87,56.7,57.4,2534,0.4426,0.4744,0.0025,2004,4000,SPXW221215P04000000,70.8,-18,69.5,70.4,319,0.4408,-0.5255,0.0025,364,79782095.26,-14491358.62,0.065290737,0.011450382,FALSE,67339688.06,12281209.96,12442407.19
12/15/22 16:00,SPXW221215C04005000,54.35,22.9,54,55,18,0.4413,0.4618,0.0025,88,4005,SPXW221215P04005000,73.4,-18.5,72.1,73,32,0.4402,-0.538,0.0025,121,3503405.381,-4817182.398,-0.001313777,0.011450382,FALSE,2962617.002,4083723.635,540788.3786
12/16/22 16:00,SPXW221216C03985000,67.2,25.05,67,68,179,0.4011,0.5129,0.0024,310,3985,SPXW221216P03985000,65.4,-16.05,64.8,65.6,184,0.3998,-0.487,0.0024,373,11847880.01,-14255674.98,-0.002407795,0.015267176,TRUE,9944103.408,12003900.46,1903776.607
12/16/22 16:00,SPX221216C03990000,63.34,25.04,62.6,63.9,205,0.4045,0.5006,0.0025,4881,3990,SPX221216P03990000,66.3,-17.4,65.2,66.9,122,0.4036,-0.4994,0.0025,4954,194319564.3,-197225798.4,-0.002906234,0.015267176,TRUE,155412895.2,158089202.7,38906669.11
12/16/22 16:00,SPXW221216C03990000,64.99,25.34,64.5,65.4,523,0.4008,0.5009,0.0024,512,3990,SPXW221216P03990000,67.55,-17.4,67.2,68.2,99,0.3992,-0.499,0.0024,388,19568111.51,-14828959.5,0.004739152,0.015267176,TRUE,16452862.01,12518187.35,3115249.498
12/16/22 16:00,SPX221216C03995000,60.55,24.25,60.1,61.4,37,0.4044,0.4883,0.0025,9962,3995,SPX221216P03995000,68.75,-17.9,67.7,69.4,15,0.4023,-0.5117,0.0025,10051,396601413.7,-400144630.5,-0.003543217,0.015267176,TRUE,317393730.5,321901108.5,79207683.13
12/16/22 16:00,SPXW221216C03995000,62.1,24.55,62,63,107,0.3995,0.489,0.0024,169,3995,SPXW221216P03995000,70.4,-17.55,69.7,70.6,114,0.3985,-0.511,0.0024,271,6459005.556,-10357340.27,-0.003898335,0.015267176,TRUE,5450464.118,8762028.001,1008541.438
12/16/22 16:00,SPX221216C04000000,58.34,24.04,57.7,58.9,11834,0.4027,0.4759,0.0025,149697,4000,SPX221216P04000000,70.96,-18.69,70.2,71.8,10937,0.4019,-0.524,0.0025,159685,5959650855,-6357287366,-0.397636511,0.015267176,TRUE,4788340943,5117976615,1171309912
12/19/22 16:00,SPXW221219C03980000,75.1,28.9,71.5,72.9,113,0.312,0.525,0.0023,76,3980,SPXW221219P03980000,64.8,-16.5,64.1,65.4,63,0.3123,-0.4748,0.0023,35,2783614.821,-1281927.878,0.001501687,0.019083969,FALSE,2797509.705,1287093.348,-13894.88479
12/19/22 16:00,SPXW221219C03985000,70.3,26.3,68.9,70.3,58,0.3127,0.5135,0.0023,55,3985,SPXW221219P03985000,65.7,-18.4,66.4,67.8,49,0.3119,-0.4863,0.0023,17,2014458.094,-622650.6835,0.001391807,0.019083969,FALSE,2024016.671,627208.8524,-9558.577057
12/19/22 16:00,SPXW221219C03990000,67.17,25.27,66.3,67.7,571,0.3121,0.5019,0.0023,68,3990,SPXW221219P03990000,68.85,-18.15,68.8,70.2,103,0.3113,-0.4978,0.0023,59,2490602.734,-2160964.137,0.000329639,0.019083969,FALSE,2510099.943,2183480.238,-19497.20847
12/19/22 16:00,SPXW221219C03995000,66.8,26.95,63.8,65.2,47,0.3116,0.4904,0.0023,60,3995,SPXW221219P03995000,70.9,-19,71.3,72.6,24,0.3103,-0.5094,0.0023,39,2197590.648,-1428433.921,0.000769157,0.019083969,FALSE,2219010.38,1448398.227,-21419.73206
12/19/22 16:00,SPXW221219C04000000,62.4,24.55,61.3,62.7,497,0.3106,0.4788,0.0023,300,4000,SPXW221219P04000000,74,-18.9,73.9,75.2,375,0.3096,-0.521,0.0023,252,10987953.24,-9229880.721,0.001758073,0.019083969,FALSE,11124590.65,9374761.045,-136637.4083
12/19/22 16:00,SPXW221219C04005000,61.7,25.85,58.9,60.3,73,0.3103,0.4671,0.0023,36,4005,SPXW221219P04005000,77.1,-18.85,76.4,77.8,32,0.309,-0.5326,0.0023,41,1318554.389,-1501686.943,-0.000183133,0.019083969,FALSE,1334360.326,1526038.91,-15805.93759
12/20/22 16:00,SPXW221220C03980000,70.9,23.2,73,74.7,20,0.2978,0.5257,0.0023,57,3980,SPXW221220P03980000,74.57,0,65.1,66.9,0,0.298,-0.474,0.0023,43,2087711.115,-1574939.964,0.000512771,0.022900763,FALSE,2006932.407,1512988.525,80778.70815
12/20/22 16:00,SPXW221220C03985000,73.7,28.2,70.3,72.1,9,0.298,0.5144,0.0023,33,3985,SPXW221220P03985000,69.8,-15.45,67.5,69.2,14,0.2972,-0.4853,0.0023,17,1208674.856,-622650.6835,0.000586024,0.022900763,FALSE,1163311.111,600893.892,45363.74549
12/20/22 16:00,SPXW221220C03990000,69.6,26.2,67.7,69.5,34,0.2974,0.5031,0.0023,24,3990,SPXW221220P03990000,70,-18.1,69.9,71.6,115,0.2966,-0.4967,0.0023,112,879036.2591,-4102169.209,-0.003223133,0.022900763,FALSE,848685.2798,3971219.088,30350.97937
12/20/22 16:00,SPXW221220C03995000,55.4,14.1,65.2,67,6,0.297,0.4918,0.0023,11,3995,SPXW221220P03995000,80.99,0,72.3,74.1,0,0.2962,-0.508,0.0023,26,402891.6188,-952289.2807,-0.000549398,0.022900763,FALSE,389631.5002,923434.2737,13260.11859
12/20/22 16:00,SPXW221220C04000000,63,23.7,62.7,64.5,299,0.2963,0.4804,0.0023,467,4000,SPXW221220P04000000,77.51,-16.49,74.8,76.6,272,0.2955,-0.5194,0.0023,70,17104580.54,-2563855.756,0.014540725,0.022900763,FALSE,16573153.1,2490908.574,531427.4402
12/20/22 16:00,SPXW221220C04005000,61.8,24.5,60.3,62.1,13,0.2958,0.4689,0.0023,8,4005,SPXW221220P04005000,76.21,-20.79,77.4,79.2,3,0.2946,-0.5308,0.0023,9,293012.0864,-329638.5972,-3.66E-05,0.022900763,FALSE,284035.4037,320833.5414,8976.682655
12/21/22 16:00,SPXW221221C03980000,77.3,28.2,74.4,75.9,25,0.2864,0.5253,0.0022,35,3980,SPXW221221P03980000,78.33,-5.57,66.6,68.1,23,0.2865,-0.4745,0.0022,86,1226191.883,-3012928.627,-0.001786737,0.026717557,FALSE,1186452.902,2914269.422,39738.98158
12/21/22 16:00,SPXW221221C03985000,55.4,0,71.8,73.3,0,0.2866,0.5143,0.0022,14,3985,SPXW221221P03985000,69.5,-17.1,68.9,70.4,6,0.2858,-0.4855,0.0022,27,490476.7533,-945919.4528,-0.000455443,0.026717557,FALSE,475097.9306,918824.1777,15378.82271
12/21/22 16:00,SPXW221221C03990000,69.85,25.15,69.2,70.7,12,0.2862,0.5032,0.0022,93,3990,SPXW221221P03990000,88.77,-0.73,71.3,72.8,1,0.285,-0.4966,0.0022,71,3258167.004,-2487417.82,0.000770749,0.026717557,FALSE,3163789.844,2425541.864,94377.15981
12/21/22 16:00,SPXW221221C03995000,68.7,26.1,66.6,68.1,28,0.2854,0.492,0.0022,51,3995,SPXW221221P03995000,74,-18.4,73.8,75.3,31,0.2844,-0.5078,0.0022,30,1786736.744,-1051021.614,0.000735715,0.026717557,FALSE,1740450.587,1027394.202,46286.15676
12/21/22 16:00,SPXW221221C04000000,60.1,19.55,64.1,65.6,751,0.2847,0.4808,0.0022,260,4000,SPXW221221P04000000,77.13,-18.17,76.3,77.8,45,0.2835,-0.5189,0.0022,175,9108853.989,-6130959.416,0.002977895,0.026717557,FALSE,8891338.54,6009834.204,217515.4492
12/21/22 16:00,SPXW221221C04005000,46.4,0,61.7,63.2,0,0.2843,0.4696,0.0022,68,4005,SPXW221221P04005000,86.1,-12.2,78.9,80.4,2,0.2835,-0.5301,0.0022,91,2382315.659,-3188098.896,-0.000805783,0.026717557,FALSE,2326123.759,3121636.555,56191.89965
12/22/22 16:00,SPXW221222C03980000,77.9,26.2,76.9,78.8,12,0.2786,0.5293,0.0022,29,3980,SPXW221222P03980000,69.1,-15.5,67.4,69.2,9,0.278,-0.4708,0.0022,21,1015987.56,-735715.1299,0.000280272,0.030534351,FALSE,945407.6112,686079.5604,70579.94917
12/22/22 16:00,SPXW221222C03985000,77.72,28.32,74.3,76.2,17,0.2783,0.5185,0.0022,26,3985,SPXW221222P03985000,69.48,-17.87,69.7,71.5,31,0.2773,-0.4816,0.0022,9,910885.3989,-315306.4843,0.000595579,0.030534351,FALSE,849963.0872,295278.7507,60922.31179
12/22/22 16:00,SPXW221222C03990000,59.69,12.49,71.6,73.5,2,0.2776,0.5077,0.0022,59,3990,SPXW221222P03990000,71.3,-18.8,72,73.9,109,0.2768,-0.4924,0.0022,48,2067009.175,-1681634.583,0.000385375,0.030534351,FALSE,1935628.852,1579302.829,131380.323
12/22/22 16:00,SPXW221222C03995000,70.9,25.8,69.1,70.9,19,0.2769,0.4968,0.0022,11,3995,SPXW221222P03995000,87.2,-5.75,74.5,76.3,6,0.2762,-0.5033,0.0022,21,385374.5919,-735715.1299,-0.000350341,0.030534351,FALSE,361925.3347,692699.5979,23449.25715
12/22/22 16:00,SPXW221222C04000000,68.38,25.38,66.5,68.4,43,0.2766,0.4859,0.0022,243,4000,SPXW221222P04000000,90.34,-5.51,76.9,78.8,4,0.2755,-0.5142,0.0022,49,8513275.075,-1716668.636,0.006796606,0.030534351,FALSE,8001492.41,1619900.096,511782.6646
12/22/22 16:00,SPXW221222C04005000,57.57,16.57,64,65.9,22,0.2758,0.475,0.0022,100,4005,SPXW221222P04005000,89.11,0,79.4,81.3,0,0.2748,-0.5252,0.0022,10,3503405.381,-350340.5381,0.003153065,0.030534351,FALSE,3299087.34,331103.1906,204318.041
12/23/22 16:00,SPXW221223C03980000,82.53,29.03,79,80.6,88,0.2713,0.5301,0.0021,201,3980,SPXW221223P03980000,68.4,-17.6,69,70.5,96,0.2714,-0.4701,0.0021,828,6721760.96,-27689642.16,-0.020967881,0.034351145,FALSE,6344595.024,26126334.28,377165.9356
12/23/22 16:00,SPXW221223C03985000,79.67,28.42,76.3,77.9,61,0.2706,0.5195,0.0021,158,3985,SPXW221223P03985000,73,-15.7,71.3,72.8,79,0.2706,-0.4806,0.0021,270,5283772.297,-9029231.14,-0.003745459,0.034351145,FALSE,5008359.166,8558588.448,275413.1311
12/23/22 16:00,SPXW221223C03990000,75.8,26.8,73.6,75.2,73,0.2705,0.509,0.0021,242,3990,SPXW221223P03990000,75.5,-16,73.6,75.2,193,0.2699,-0.4912,0.0021,942,8092866.429,-31501984.2,-0.023409118,0.034351145,FALSE,7681619.269,29967692.02,411247.1606
12/23/22 16:00,SPXW221223C03995000,70.3,23.45,71,72.6,64,0.2697,0.4983,0.0021,126,3995,SPXW221223P03995000,78.7,-15.6,76,77.6,56,0.2692,-0.5018,0.0021,624,4213641.199,-20867556.41,-0.016653915,0.034351145,FALSE,4012927.117,19910460.77,200714.0812
12/23/22 16:00,SPXW221223C04000000,70.1,24.11,68.5,70.1,745,0.2694,0.4876,0.0021,4022,4000,SPXW221223P04000000,79.3,-17.16,78.4,80,1088,0.2686,-0.5125,0.0021,3167,134502102.4,-105909537.1,0.028592565,0.034351145,FALSE,128206269.9,101252264.9,6295832.45
12/23/22 16:00,SPXW221223C04005000,66.5,23.85,66,67.6,80,0.2687,0.477,0.0021,166,4005,SPXW221223P04005000,81.6,-18.5,80.9,82.5,24,0.2677,-0.5232,0.0021,422,5551305.071,-14112353.86,-0.008561049,0.034351145,FALSE,5300552.693,13524999.72,250752.3786
12/27/22 16:00,SPXW221227C03980000,79.86,23.86,81.3,83.4,12,0.2396,0.5304,0.002,36,3980,SPXW221227P03980000,74.3,-13.9,70.8,72.9,14,0.2397,-0.4695,0.002,51,1146569.034,-1624306.131,-0.000477737,0.041984733,FALSE,1163791.296,1648018.104,-17222.26263
12/27/22 16:00,SPXW221227C03985000,80.9,27.2,78.6,80.7,22,0.2391,0.5201,0.0021,15,3985,SPXW221227P03985000,73.68,-17.17,73.1,75.2,2,0.2388,-0.4797,0.0021,27,501623.9522,-902923.114,-0.000401299,0.041984733,FALSE,486744.4031,877240.3709,14879.54907
12/27/22 16:00,SPXW221227C03990000,75.4,24,75.9,78,10,0.2388,0.5099,0.0021,46,3990,SPXW221227P03990000,77.67,-15.93,75.5,77.6,77,0.2385,-0.49,0.0021,258,1538313.453,-8627931.978,-0.007089619,0.041984733,FALSE,1496096.109,8401708.874,42217.34399
12/27/22 16:00,SPXW221227C03995000,75.37,26.17,73.3,75.4,38,0.2383,0.4996,0.0021,23,3995,SPXW221227P03995000,90.8,0,77.8,79.9,0,0.2376,-0.5003,0.0021,15,769156.7267,-501623.9522,0.000267533,0.041984733,FALSE,749896.6854,490504.005,19260.04134
12/27/22 16:00,SPXW221227C04000000,71.65,24.55,70.8,72.8,248,0.2374,0.4892,0.0021,57,4000,SPXW221227P04000000,93.8,-5.45,80.3,82.4,11,0.2371,-0.5107,0.0021,97,1906171.018,-3243834.891,-0.001337664,0.041984733,FALSE,1864939.118,3177676.813,41231.90024
12/27/22 16:00,SPXW221227C04005000,56.95,0,68.1,70.3,0,0.237,0.4788,0.0021,27,4005,SPXW221227P04005000,97.6,-4.55,82.8,84.8,2,0.2364,-0.521,0.0021,5,902923.114,-167207.9841,0.000735715,0.041984733,FALSE,884033.3246,164123.3194,18889.78944
12/28/22 16:00,SPXW221228C03980000,81.99,23.89,83.3,85.3,2,0.2375,0.5308,0.002,84,3980,SPXW221228P03980000,76.04,-13.91,72.6,74.5,9,0.2378,-0.469,0.002,15,2675327.745,-477737.0974,0.002197591,0.045801527,FALSE,2623093.795,467819.8984,52233.95025
12/28/22 16:00,SPXW221228C03985000,72.4,0,80.6,82.6,0,0.2371,0.5208,0.002,14,3985,SPXW221228P03985000,89.1,-3.5,74.9,76.8,3,0.2372,-0.479,0.002,32,445887.9575,-1019172.474,-0.000573285,0.045801527,FALSE,438625.5567,1002150.078,7262.400869
12/28/22 16:00,SPXW221228C03990000,63.97,0,78,79.9,0,0.2369,0.5108,0.002,45,3990,SPXW221228P03990000,89.1,-6.2,77.2,79.1,2,0.2365,-0.489,0.002,131,1433211.292,-4172237.317,-0.002739026,0.045801527,FALSE,1412471.557,4118820.577,20739.73549
12/28/22 16:00,SPXW221228C03995000,60.2,0,75.3,77.3,0,0.2362,0.5007,0.002,15,3995,SPXW221228P03995000,92.7,-5.4,79.6,81.5,4,0.2359,-0.4991,0.002,108,477737.0974,-3439707.101,-0.00296197,0.045801527,FALSE,472403.3601,3405630.382,5333.73726
12/28/22 16:00,SPXW221228C04000000,59.9,10.8,72.8,74.7,417,0.2356,0.4906,0.002,736,4000,SPXW221228P04000000,84.14,-16.76,82,83.9,403,0.2351,-0.5092,0.002,1186,23440966.91,-37773079.83,-0.014332113,0.045801527,FALSE,23232968.02,37517404.11,207998.8856
12/28/22 16:00,SPXW221228C04005000,55.6,0,70.2,72.2,0,0.2349,0.4805,0.002,25,4005,SPXW221228P04005000,98.7,-5.1,84.5,86.4,21,0.2346,-0.5194,0.002,51,796228.4956,-1624306.131,-0.000828078,0.045801527,FALSE,790837.1963,1615361.566,5391.299316
12/29/22 16:00,SPXW221229C03980000,87.42,26.27,86.7,88.9,4,0.2368,0.5355,0.002,40,3980,SPXW221229P03980000,91.59,0.94,73.6,75.7,8,0.2368,-0.465,0.002,19,1273965.593,-605133.6566,0.000668832,0.049618321,FALSE,1203723.574,571768.6978,70242.0186
12/29/22 16:00,SPXW221229C03985000,135.4,0,84,86.2,0,0.2362,0.5258,0.002,5,3985,SPXW221229P03985000,68.43,0,75.6,77.9,0,0.2362,-0.4747,0.002,3,159245.6991,-95547.41947,6.37E-05,0.049618321,FALSE,151080.1697,90648.10183,8165.529407
12/29/22 16:00,SPXW221229C03990000,80.94,24.49,81.1,83.5,2,0.2356,0.516,0.002,12,3990,SPXW221229P03990000,96.91,0.91,78.1,80.2,12,0.2355,-0.4844,0.002,28,382189.6779,-891775.9151,-0.000509586,0.049618321,FALSE,363870.8807,849392.8237,18318.79721
12/29/22 16:00,SPXW221229C03995000,54.82,0,78.6,80.8,0,0.2353,0.5062,0.002,8,3995,SPXW221229P03995000,88.6,0,80.4,82.6,0,0.2351,-0.4942,0.002,17,254793.1186,-541435.377,-0.000286642,0.049618321,FALSE,242988.4001,516789.714,11804.71848
12/29/22 16:00,SPXW221229C04000000,75.65,23.65,76,78.2,518,0.2346,0.4964,0.002,197,4000,SPXW221229P04000000,95.91,-5.54,82.6,85,500,0.2344,-0.5041,0.002,205,6274280.545,-6529073.664,-0.000254793,0.049618321,FALSE,6000425.058,6249417.6,273855.4872
12/29/22 16:00,SPXW221229C04005000,59,9.2,73.4,75.7,8,0.234,0.4865,0.002,16,4005,SPXW221229P04005000,0,0,85,87.4,0,0.2338,-0.5139,0.002,0,509586.2372,0,0.000509586,0.049618321,FALSE,488226.2504,0,21359.98674
12/30/22 16:00,SPXW221230C03980000,91.34,27.94,89.2,90.7,71,0.2364,0.5351,0.0019,680,3980,SPXW221230P03980000,77.9,-14.9,76,76.9,22,0.2364,-0.4653,0.0019,353,20574544.33,-10680609.04,0.009893935,0.053435115,FALSE,19753493.79,10254387.22,821050.5327
12/30/22 16:00,SPXW221230C03985000,87,26,86.4,88,325,0.2357,0.5256,0.0019,301,3985,SPXW221230P03985000,79.04,-16.41,78.2,79.7,5,0.236,-0.4748,0.0019,172,9107261.533,-5204149.447,0.003903112,0.053435115,FALSE,8782766.567,5012343.451,324494.9656
12/30/22 16:00,SPXW221230C03990000,87.31,28.66,83.7,85.2,23,0.2352,0.5161,0.0019,299,3990,SPXW221230P03990000,81.29,-16.81,80.5,82,50,0.2351,-0.4843,0.0019,328,9046748.167,-9924191.969,-0.000877444,0.053435115,FALSE,8751288.924,9604162.535,295459.243
12/30/22 16:00,SPXW221230C03995000,81.73,25.33,81.1,82.6,16,0.2351,0.5065,0.0019,304,3995,SPXW221230P03995000,96.12,-4.68,82.8,84.3,12,0.2346,-0.4938,0.0019,147,9198031.581,-4447732.376,0.004750299,0.053435115,FALSE,8905159.906,4315293.987,292871.6747
12/30/22 16:00,SPXW221230C04000000,79.4,25.25,78.5,80,585,0.2345,0.497,0.0019,13379,4000,SPXW221230P04000000,86.67,-16.93,85.2,86.7,65,0.2337,-0.5034,0.0019,9238,404804159.6,-279511236,0.125292924,0.053435115,FALSE,392873152.1,272200580.7,11931007.52
12/30/22 16:00,SPXW221230C04005000,75.2,23.25,75.9,77.4,16,0.2338,0.4873,0.0019,500,4005,SPXW221230P04005000,88.23,-18.17,87.6,89.1,7,0.2333,-0.513,0.0019,191,15128341.42,-5779026.421,0.009349315,0.053435115,FALSE,14716749.8,5633801.654,411591.621